SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44.001,0,-0.009
Elongation till break,1-Preload,0.200,44.001,0,-0.009
Elongation till break,1-Preload,0.400,44.001,0,-0.009
Elongation till break,1-Stretch,0.420,44.001,0,-0.009
Elongation till break,1-Stretch,0.620,44.372,0.371,0.429
Elongation till break,1-Stretch,0.820,44.813,0.812,1.047
Elongation till break,1-Stretch,1.020,45.255,1.254,1.510
Elongation till break,1-Stretch,1.220,45.695,1.694,2.257
Elongation till break,1-Stretch,1.420,46.137,2.136,3.133
Elongation till break,1-Stretch,1.620,46.578,2.577,3.905
Elongation till break,1-Stretch,1.820,47.019,3.018,4.703
Elongation till break,1-Stretch,2.020,47.46,3.459,5.450
Elongation till break,1-Stretch,2.220,47.901,3.9,6.274
Elongation till break,1-Stretch,2.420,48.342,4.341,7.149
Elongation till break,1-Stretch,2.620,48.783,4.782,8.051
Elongation till break,1-Stretch,2.820,49.224,5.223,9.029
Elongation till break,1-Stretch,3.020,49.665,5.664,9.956
Elongation till break,1-Stretch,3.220,50.107,6.106,10.935
Elongation till break,1-Stretch,3.420,50.548,6.547,11.913
Elongation till break,1-Stretch,3.620,50.989,6.988,12.814
Elongation till break,1-Stretch,3.820,51.43,7.429,13.793
Elongation till break,1-Stretch,4.020,51.871,7.87,14.797
Elongation till break,1-Stretch,4.220,52.312,8.311,-1.657
Elongation till break,1-Stretch,4.420,52.753,8.752,-1.554
Elongation till break,1-Stretch,4.620,53.194,9.193,-1.425
Elongation till break,1-Stretch,4.820,53.636,9.635,-1.425
Elongation till break,1-Stretch,5.020,54.077,10.076,-1.373
Elongation till break,1-Stretch,5.220,54.518,10.517,-1.322
Elongation till break,1-Stretch,5.420,54.959,10.958,-1.322
